Entity,Code,GDP per capita
Afghanistan,AFG,565.5697
Albania,ALB,3952.8035
Algeria,DZA,4685.059
American Samoa,ASM,12727.41
Andorra,AND,38654.934
Angola,AGO,3213.9026
Antigua and Barbuda,ATG,16080.658
Argentina,ARG,13679.627
Armenia,ARM,3512.3936
Aruba,ABW,27458.225
Australia,AUS,56739.027
Austria,AUT,43915.227
Azerbaijan,AZE,5500.5034
Bahamas,BHS,30289.402
Bahrain,BHR,23734.055
Bangladesh,BGD,1224.3865
Barbados,BRB,18954.291
Belarus,BLR,5967.0684
Belgium,BEL,40893.805
Belize,BLZ,6154.496
Benin,BEN,1002.4189
Bermuda,BMU,104855.37
Bhutan,BTN,2954.0408
Bolivia,BOL,2996.013
Bosnia and Herzegovina,BIH,4662.259
Botswana,BWA,6141.204
Brazil,BRA,8936.196
Brunei,BRN,30625.129
Bulgaria,BGR,7078.8604
Burkina Faso,BFA,630.12476
Burundi,BDI,280.96683
Cambodia,KHM,1547.3201
Cameroon,CMR,1415.0001
Canada,CAN,43594.195
Cape Verde,CPV,3415.0627
Cayman Islands,CYM,76379.21
Central African Republic,CAF,366.32285
Chad,TCD,747.58844
Channel Islands,OWID_CIS,61852.074
Chile,CHL,13433.92
China,CHN,8016.446
Colombia,COL,6248.515
Comoros,COM,1329.3705
Congo,COG,2439.3518
Costa Rica,CRI,11714.711
Cote d'Ivoire,CIV,1814.7185
Croatia,HRV,12285.304
Cuba,CUB,7727.92
Curacao,CUW,19361.812
Cyprus,CYP,23487.229
Czechia,CZE,17931.6
Democratic Republic of Congo,COD,467.91458
Denmark,DNK,53094.01
Djibouti,DJI,2376.1255
Dominica,DMA,7679.833
Dominican Republic,DOM,6819.932
East Asia and Pacific (WB),,9562.106
East Timor,TLS,1319.593
Ecuador,ECU,5976.1597
Egypt,EGY,3306.9817
El Salvador,SLV,3790.3408
Equatorial Guinea,GNQ,9068.91
Estonia,EST,17722.156
Eswatini,SWZ,3393.5337
Ethiopia,ETH,621.8457
